time    species    pebble_col_abundance
1000    grain    4.32330e-14
1000    grainH    2.62442e-08
1000    grainH(-)    5.53647e-14
1000    grainH2    2.13083e-03
1000    grainHe    4.40856e-15
1000    grainC    6.63599e-15
1000    grainCH    4.44357e-15
1000    grainC(-)    8.75492e-22
1000    grainCH2    6.84057e-13
1000    grainCH3    8.03260e-12
1000    grainN    1.97242e-13
1000    grainNH    7.39376e-14
1000    grainCH4    3.93104e-08
1000    grainNH2    7.89156e-13
1000    grainNH3    2.84939e-08
1000    grainO    9.94304e-12
1000    grainOH    1.27929e-11
1000    grainO(-)    1.69694e-23
1000    grainH2O    2.31887e-06
1000    grainOH(-)    2.71459e-15
1000    grainNa    0.00000e+00
1000    grainC2    1.55090e-17
1000    grainMg    0.00000e+00
1000    grainNaH    0.00000e+00
1000    grainC2H    5.78907e-17
1000    grainMgH    0.00000e+00
1000    grainC2H2    9.18604e-16
1000    grainCN    4.75791e-13
1000    grainCN(-)    2.16088e-15
1000    grainMgH2    0.00000e+00
1000    grainC2H3    2.99193e-17
1000    grainHCN    6.87493e-09
1000    grainHNC    2.49828e-12
1000    grainC2H4    1.20894e-15
1000    grainCHNH    0.00000e+00
1000    grainCNH2    0.00000e+00
1000    grainCO    1.17909e-06
1000    grainH2CN    2.36612e-17
1000    grainN2    3.93027e-07
1000    grainSi    2.88691e-32
1000    grainC2H5    1.75959e-20
1000    grainCH2NH    1.49596e-17
1000    grainCH3N    0.00000e+00
1000    grainCHNH2    0.00000e+00
1000    grainHCO    2.95289e-14
1000    grainHOC    0.00000e+00
1000    grainN2H    0.00000e+00
1000    grainSiH    1.11319e-35
1000    grainC2H6    0.00000e+00
1000    grainCH2NH2    0.00000e+00
1000    grainCH3NH    0.00000e+00
1000    grainCHOH    0.00000e+00
1000    grainH2CO    4.92249e-13
1000    grainHOCH    0.00000e+00
1000    grainN2H2    0.00000e+00
1000    grainNO    4.82506e-16
1000    grainSiH2    0.00000e+00
1000    grainCH2OH    0.00000e+00
1000    grainCH3O    0.00000e+00
1000    grainCH5N    0.00000e+00
1000    grainHNO    4.24046e-16
1000    grainHON    0.00000e+00
1000    grainSiH3    0.00000e+00
1000    grainCH3OH    1.96334e-08
1000    grainNH2OH    0.00000e+00
1000    grainO2    4.10517e-14
1000    grainS    1.09476e-14
1000    grainHS    8.20836e-14
1000    grainS(-)    5.14017e-23
1000    grainSiH4    0.00000e+00
1000    grainO2H    7.08209e-19
1000    grainH2O2    8.50641e-31
1000    grainH2S    3.75248e-10
1000    grainCl    0.00000e+00
1000    grainC3    2.75090e-19
1000    grainHCl    0.00000e+00
1000    grainC3H    3.50813e-19
1000    grainC2N    2.88910e-18
